article_number;name;law_type
200.1;Контрабанда наличных денежных средств и (или) денежных инструментов;УК РФ
200.2;Контрабанда алкогольной продукции и (или) табачных изделий;УК РФ
200.3;Привлечение денежных средств граждан в нарушение требований законодательства Российской Федерации об участии в долевом строительстве многоквартирных домов и (или) иных объектов недвижимости;УК РФ
200.4;Злоупотребления в сфере закупок товаров, работ, услуг для обеспечения государственных или муниципальных нужд;УК РФ
200.5;Подкуп работника контрактной службы, контрактного управляющего, члена комиссии по осуществлению закупок;УК РФ
200.6;Заведомо ложное экспертное заключение в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд;УК РФ
201;Злоупотребление полномочиями;УК РФ
201.1;Злоупотребление полномочиями при выполнении государственного оборонного заказа;УК РФ
202;Злоупотребление полномочиями частными нотариусами и аудиторами;УК РФ
203;Превышение полномочий частным детективом или работником частной охранной организации, имеющим удостоверение частного охранника, при выполнении ими своих должностных обязанностей;УК РФ
204;Коммерческий подкуп;УК РФ
204.1;Посредничество в коммерческом подкупе;УК РФ
204.2;Мелкий коммерческий подкуп;УК РФ
205;Террористический акт;УК РФ
205.1;Содействие террористической деятельности;УК РФ
205.2;Публичные призывы к осуществлению террористической деятельности, публичное оправдание терроризма или пропаганда терроризма;УК РФ
205.3;Прохождение обучения в целях осуществления террористической деятельности;УК РФ
205.4;Организация террористического сообщества и участие в нем;УК РФ
205.5;Организация деятельности террористической организации и участие в деятельности такой организации;УК РФ
205.6;Несообщение о преступлении;УК РФ
206;Захват заложника;УК РФ
207;Заведомо ложное сообщение об акте терроризма;УК РФ
208;Организация незаконного вооруженного формирования или участие в нем;УК РФ
209;Бандитизм;УК РФ
210;Организация преступного сообщества (преступной организации) или участие в нем (ней);УК РФ
210.1;Занятие высшего положения в преступной иерархии;УК РФ
211;Угон судна воздушного или водного транспорта либо железнодорожного подвижного состава;УК РФ
212;Массовые беспорядки;УК РФ
212.1;Неоднократное нарушение установленного порядка организации либо проведения собрания, митинга, демонстрации, шествия или пикетирования;УК РФ
213;Хулиганство;УК РФ
214;Вандализм;УК РФ
215;Нарушение правил безопасности на объектах атомной энергетики;УК РФ
215.1;Прекращение или ограничение подачи электрической энергии либо отключение от других источников жизнеобеспечения;УК РФ
215.2;Приведение в негодность объектов жизнеобеспечения;УК РФ
215.3;Самовольное подключение к нефтепроводам, нефтепродуктопроводам и газопроводам либо приведение их в негодность;УК РФ
215.4;Незаконное проникновение на охраняемый объект;УК РФ
216;Нарушение правил безопасности при ведении строительных или иных работ;УК РФ
217;Нарушение требований промышленной безопасности опасных производственных объектов;УК РФ
217.1;Нарушение требований обеспечения безопасности и антитеррористической защищенности объектов топливно-энергетического комплекса;УК РФ
217.2;Заведомо ложное заключение экспертизы промышленной безопасности;УК РФ
218;Нарушение правил учета, хранения, перевозки и использования взрывчатых, легковоспламеняющихся веществ и пиротехнических изделий;УК РФ
219;Нарушение требований пожарной безопасности;УК РФ
220;Незаконное обращение с ядерными материалами или радиоактивными веществами;УК РФ
221;Хищение либо вымогательство ядерных материалов или радиоактивных веществ;УК РФ
222;Незаконные приобретение, передача, сбыт, хранение, перевозка или ношение оружия, его основных частей, боеприпасов;УК РФ
222.1;Незаконные приобретение, передача, сбыт, хранение, перевозка или ношение взрывчатых веществ или взрывных устройств;УК РФ
223;Незаконное изготовление оружия;УК РФ
223.1;Незаконное изготовление взрывчатых веществ, незаконные изготовление, переделка или ремонт взрывных устройств;УК РФ
224;Небрежное хранение огнестрельного оружия;УК РФ
225;Ненадлежащее исполнение обязанностей по охране оружия, боеприпасов, взрывчатых веществ и взрывных устройств;УК РФ
