id,name,occupation,contained_in_original_file
215,Мурадов Мурад Абдулгалимович,журналист еженедельника «Новое дело»,yes
216,Малкова Ирина Владимировна,главный редактор интернет-издания «The Bell»,yes
217,Осетинская Елизавета Николаевна,"журналистка, основательница интернет-издания «The Bell»",yes
218,Понасенков Евгений Николаевич,"историк, публицист, видеоблогер",yes
219,Воробьёв Виктор Викторович,"оппозиционный политик, депутат Государственного Совета Республики Коми VII созыва",yes
220,Дрёмин Иван Тимофеевич,"рэп-исполнитель, певец",yes
221,Борухович (Тумакова) Ирина Григорьевна,журналистка интернет-издания «Новая газета»,yes
222,Фейгин Марк Захарович,"политический деятель, журналист",yes
223,Маяковская Екатерина Алексеевна,"журналистка, волонтёр движения «Голос»",yes
224,Филимонов Андрей Викторович,"журналист Радио «Свобода», Сибирь.Реалии",yes
225,Дубровский Дмитрий Викторович,"гражданский активист, исследователь, эксперт",yes
226,Дзугкоева Регина Николаевна,руководительница движения «Маяк»,yes
227,Шаинян Карен Багратович,ЛГБТ-видеоблогер,yes
228,Шульман Екатерина Михайловна,"политолог, публицист",yes
229,Сабунаева Мария Леонидовна,"ЛГБТ-психолог, писательница",yes
230,Семёнов Алексей Владимирович,"писатель, бывший обозреватель «Псковской губернии»",yes
231,Дудь Юрий Александрович,"видеоблогер, журналист",yes
232,Кругликов Кирилл Игоревич,журналист интернет-издания «Такие дела»,yes
233,Доброхотов Роман Александрович,главный редактор «The Insider»,yes
234,Ёлкин Сергей Владимирович,художник-карикатурист,yes
235,Вахштайн Виктор Семёнович,"социолог, главный редактор журнала «Социология власти»",yes
236,Сироткин Ярослав Николаевич,"гражданский и ЛГБТ-активист, член ЛГБТ-движения «Каллисто»",yes
237,Пархоменко Сергей Борисович,журналист,yes
238,Асафьев Артур Валерьевич,журналист Радио «Свобода»,yes
239,Невзоров Александр Глебович,журналист,yes
240,Лушникова Екатерина Евгеньевна,журналист Радио «Свобода»,yes
241,Венедиктов Алексей Алексеевич,главный редактор «Эхо Москвы»,yes
242,Воронов Владимир Владимирович,журналист Радио «Свобода»,yes
243,Милов Владимир Станиславович,"политик, экономист",yes
244,Кагарлицкий Борис Юльевич,"социолог, публицист",yes
245,Гозман Леонид Яковлевич,"психолог, активист",yes
246,Соболь Любовь Эдуардовна,политик,yes
247,Климарев Михаил Валерьевич,"IT-эксперт, активист",yes
248,Баранова Наталья Владимировна,контент-директор «Теплицы социальных технологий»,yes
249,Константинов Денис Владимирович,главный редактор «Орловских новостей»,yes
250,Соколов Михаил Владимирович,"журналист Радио «Свобода», историк, радиоведущий, политический обозреватель",yes
251,Пивоваров Алексей Владимирович,"журналист, блогер",yes
252,Цветкова Юлия Владимировна,"художница, активистка",yes
253,Кашин Олег Владимирович,"политический журналист, публицист, обозреватель и писатель",yes
254,Петров Николай Владимирович,"политолог, политгеограф",yes
255,Данилович Ирина Брониславовна,активистка,yes
256,Алешковский Дмитрий Петрович,"общественный деятель, журналист",yes
257,Быков Дмитрий Львович,"писатель, публицист",yes
258,Альбац Евгения Марковна,журналистка,yes
259,Федоров Кирилл Владимирович,"психолог, правозащитник",yes
260,Мартынов Кирилл Константинович,"главный редактор «Новой газеты. Европа», публицист",yes
261,Лойко Сергей Леонидович,журналист,yes
262,Галямина Юлия Евгеньевна,политик,yes
263,Шац Михаил Григорьевич,"шоумен, телеведущий",yes
264,Медведев Сергей Александрович,политолог,yes
265,Соловей Валерий Дмитриевич,"историк, политолог",yes
266,Шукаева Елена Викторовна,журналистка Радио «Свобода»,yes
267,Афанасьев Андрей Андреевич,журналист Радио «Свобода» и Sotaproject,yes
268,Ясавеев Искэндэр Габдрахманович,"социолог, колумнист «Idel.Реалии», активист",yes
269,Балтатарова Евгения Семеновна,"журналистка, общественный деятель",yes
270,Глуховский Дмитрий Алексеевич,писатель,yes
271,Жадаев Иван Алексеевич,"журналист, бывший редактор «МБХ-Медиа»",yes
272,Харатьян Кирилл Евгеньевич,"журналист, преподаватель РАНХиГС",yes
273,Рувинский Владимир Владимирович,"журналист, бывший главный редактор сайта «Эха Москвы»",yes
274,Куцылло Вероника Иосифовна,"журналист, бывший главный редактор «МБХ медиа»",yes
275,Долин Антон Владимирович,кинокритик,yes
276,Телегина Наталия Геннадьевна,журналистка,yes
277,Зыгарь Михаил Викторович,"писатель, журналист",yes
278,Докучаев Алексей Алексеевич,основатель издательства Individuum,yes
279,Баев Андрей Сергеевич,директор сервиса Bookmate,yes
280,Биккинин Ирек Дамирович,"журналист, общественный деятель",yes
281,Колезев Дмитрий Евгеньевич,"журналист, главред «Republic»",yes
282,Барабашова Любовь Григорьевна,"журналистка «Радио Свобода», «Сибирь. Реалии»",yes
283,Киселёв Евгений Алексеевич,журналист,yes
284,Ганапольский Матвей Юрьевич,журналист,yes
285,Волков Леонид Михайлович,политик,yes
286,Кара-Мурза Владимир Владимирович,политик,yes
287,Моргенштерн Алишер Тагирович,"рэп-, поп- и рок-исполнитель, музыкант, шоумен",yes
288,Ходорковский Михаил Борисович,"общественный и политический деятель, предприниматель",yes
289,Каспаров Гарри Кимович,"политик, шахматист",yes
290,Чичваркин Евгений Александрович,предприниматель,yes
291,Шаведдинов Руслан Табризович,политический и общественный деятель,yes
292,Яшин Илья Валерьевич,"политик, общественный деятель",yes
293,Кац Максим Евгеньевич,"блогер, политик, общественный деятель",yes
294,Белоцерковская Вероника Борисовна,"журналист, блогер",yes
295,Лазарева Татьяна Юрьевна,"актриса, телеведущая, общественный деятель",yes
296,Гордон Дмитрий Ильич,журналист,yes
297,Гордеева Катерина Владимировна,журналистка,yes
298,Жданов Иван Юрьевич,"общественный деятель, юрист",yes
299,Зимин Борис Дмитриевич,"общественный деятель, предприниматель",yes
300,Макаревич Андрей Вадимович,певец,yes
301,Крашенинников Фёдор Геннадиевич,политолог,yes
302,Латынина Юлия Леонидовна,"журналистка, публицист",yes
303,Эйдельман Тамара Натановна,"историк, блогер",yes
304,Наки Майкл Сидней,"блогер, журналист",yes
305,Галкин Максим Александрович,артист,yes
306,Иванов Дмитрий Сергеевич,блогер,yes
307,Кушнарь Александр Александрович,журналист,yes
308,Кен Даниил Олегович,глава профсоюза «Альянс учителей»,yes
309,Цимбалюк Роман Владимирович,журналист,yes
310,Литвин Богдан Геннадьевич,"активист, координатор движения «Весна»",yes
311,Мартыненко Тимофей Сергеевич,активист движения «Весна»,yes
312,Фёдоров Мирон Янович,рэп-исполнитель,yes
313,Сторожева Ирина Владимировна,"журналистка, активистка",yes
314,Попова Алёна Владимировна,"активистка, общественный деятель",yes
315,Низовцев Дмитрий Александрович,ведущий ютьюб-канала команды Навального «Популярная политика»,yes
316,Ярмыш Кира Александровна,"общественный деятель, пресс-секретарь Алексея Навального",yes
317,Дзядко Тихон Викторович,"журналист, главный редактор телеканала «Дождь»",yes
318,Габбасов Руслан Салаватович,"башкирский национальный и политический деятель, экоактивист",yes
319,Кочкин Семён Александрович,"юрист, правозащитник, экс-координатор Чебоксарского штаба Навального",yes
320,Шуманов Илья Вячеславович,глава «Трансперенси Интернешнл — Россия»,yes
321,Пономарёв Илья Владимирович,политический деятель,yes
322,Роднянский Александр Ефимович,"режиссёр, продюсер",yes
323,Шадрина (Фельгенгауэр) Татьяна Владимировна,"журналистка, ведущая радио- и ютуб-программ",yes
324,Босов Катерина Евгеньевна,вдова бизнесмена Дмитрия Босова,yes
325,Плющев Александр Владимирович,"журналист, ведущий радио- и ютуб-программ",yes
326,Котрикадзе Екатерина Бесикиевна,"журналистка, ведущая радио- и ютуб-программ",yes
327,Беньяш Михаил Михайлович,адвокат,yes
328,Синдеева Наталья Владимировна,"журналистка, ведущая радио- и ютуб-программ",yes
329,Березовец Тарас Валерьевич,"журналист, ведущий радио- и ютуб-программ",yes
330,Яковина Иван Викторович,"журналист, политический обозреватель",yes
331,Роменский Владимир Андреевич,"журналист, ведущий радио- и ютуб-программ",yes
332,Карпук (Левиев) Руслан Леонидович,сооснователь Conflict Intelligence Team,yes
333,Мальцев Вячеслав Вячеславович,видеоблогер,yes
334,Шихман Ирина Юрьевна,"журналистка, видеоблоггер",yes
335,Алексеев Иван Александрович,"музыкант, рэп-рок-исполнитель",yes
336,Заякин Андрей Викторович,"общественный деятель, журналист, сооснователь «Диссернет»",yes
337,Усанова Олимпиада Валентиновна,правозащитница,yes
338,Светов Михаил Владимирович,"блогер, основатель SVTV News",yes
339,Телин Фёдор Алексеевич,бывший волонтёр штаба Навального в Уфе,yes
340,Ковин Виталий Сергеевич,координатор движения наблюдателей «Голос»,yes
341,Новиков Илья Сергеевич,адвокат,yes
342,Монгайт Анна Викторовна,"журналистка, телеведущая, продюсер",yes
343,Ройзман Евгений Вадимович,"политик, общественный деятель",yes
344,Гармажапова Александра Цыреновна,глава антивоенного фонда «Свободная Бурятия»,yes
345,Общероссийское общественное движение в защиту прав избирателей «Голос»,,no
346,Медиапроект «ОВД-Инфо»,,no
347,Межрегиональное общественное движение «Российская ЛГБТ-сеть»,,no
348,Дальневосточное общественное движение «Маяк»,,no
349,Санкт-Петербургская ЛГБТ-инициативная группа «Выход»,,no
350,Инициативная группа ЛГБТ+ «Реверс»,,no
351,Московский комьюнити-центр для ЛГБТ+ инициатив,,no
352,Комитет против пыток,,no
353,«Ресурсный центр для ЛГБТ»,,no
354,Движение «Весна»,,no
355,Транс-инициативная группа «Т-Действие»,,no
356,Аскеров Ровшан Энвер оглы,"журналист, знаток телевизионной игры «Что? Где? Когда?»",yes
357,Экологическое движение «42»,,no
358,Апресян Рубен Грантович,философ,yes
359,Фишман Михаил Владимирович,журналист,yes
360,Мурзагулов Ростислав Рафкатович,"политолог, политтехнолог, журналист, писатель",yes
361,The Bell,,no
362,Региональная общественная организация «Экологическая вахта Сахалина»,,no
363,Автономная некоммерческая организация «Центр сохранения и изучения лососёвых видов рыб и мест их обитания»,,no
364,Самарская общественная организация ЛГБТ+ «Ирида»,,no
365,Таратута Юлия Леонидовна,"журналистка, главред «Wonderzine»",yes
366,Тютрин Иван Иванович,"журналист, оппозиционный политик и общественный деятель",yes
367,Любимов Дмитрий Александрович,журналист,yes
368,Давыдов Дмитрий Викторович,бизнесмен,yes
369,Грязневич Наталья Владимировна,депутат,yes
370,Жвик Анастасия Николаевна,журналистка,yes
371,Ганнушкина Светлана Алексеевна,правозащитница,yes
372,Пьяных Глеб Валентинович,"журналист, телеведущий, видеоблогер",yes
373,Колесников Андрей Владимирович,"журналист, политолог",yes
374,Автономная некоммерческая организация социально-спортивных программ «Спортивное ЛГБТ-сообщество»,,no
375,Anti-Corruption Foundation Inc.,,no
376,«Феминистское Антивоенное Сопротивление»,,no
377,Общественная организация «Роскомсвобода»,,no
378,Троицкий Артемий Кивович,журналист,yes
379,Смольянинов Артур Сергеевич,актёр,yes
380,Кирсанов Сергей Владимирович,бывший священник,yes
381,Фурсов Анатолий Владимирович,юрист,yes
382,Ухов Сергей Анатольевич,"создатель регионального медиа «Пермь 36,6», экс-координатор штаба Навального в Пермском крае",yes
383,Шелест Александр,журналист,yes
384,Общество с ограниченной ответственностью «ТЕНЕС»,,no
385,Гырдымова Елизавета Андреевна,"певица, музыкант, композитор и автор песен под псевдонимом «Монеточка»",yes
386,Осечкин Владимир Валерьевич,"правозащитник, основатель общественного проекта «Гулагу-нет!»",yes
387,Устимов Антон Михайлович,видеоблогер под псевдонимом «Антон Пикули»,yes
388,Яганов Ибрагим Хасанбиевич,политический и общественный деятель,yes
389,Харченко Вадим Михайлович,блогер,yes
390,Беседина Дарья Станиславовна,"урбанист, депутат Московской городской Думы VII созыва",yes
391,Проект для трансгендерных людей и их близких «T9 NSK»,,no
392,Прусикин Илья Владимирович,"музыкант, лидер группы Little Big",yes
393,Агумава Фидель Эдуардович,журналист,yes
394,Омбадыков Эрдни Басан,президент Объединения буддистов Калмыкии,yes
395,Кашапов Рафис Рафаилович,правозащитник,yes
396,Серенко Дарья Андреевна,"общественная деятельница, акционистка, поэтесса и художница",yes
397,Общество с ограниченной ответственностью «Философия ненасилия»,,no
398,Фонд развития цифровых прав,,no
399,Мезерин Павел Владимирович,"политолог, аналитик, журналист, координатор движения «Свободная Ингрия»",yes
400,Соболев Николай Юрьевич,"видеоблогер, писатель, бизнесмен и певец",yes
401,Макашенец Александр Юрьевич,журналист,yes
402,Дудко Екатерина Артуровна,писательница под псевдонимом «Катерина Сильванова»,yes
403,Прокашева Елена Владимировна,писательница под псевдонимом «Елена Малисова»,yes
404,Рамазанова Земфира Талгатовна,"рок-певица, музыкант под псевдонимом «Земфира»",yes
405,Гудков Дмитрий Геннадьевич,политик,yes
406,Галлямов Аббас Радикович,политолог,yes
407,Намазбаева Татьяна Валерьевна,активистка,yes
408,Асланян Сергей Степанович,журналист,yes
409,Шпилькин Сергей Александрович,"физик, электоральный статистик",yes
410,Ривина Анна Валерьевна,общественный деятель,yes
411,Казанцева Александра Николаевна,общественный деятель,yes
412,Зубов Андрей Борисович,"историк, философ",yes
413,Школа свободной общественной мысли «Возрождение»,,no
414,Лошак Андрей Борисович,журналист,yes
415,Всемирный фонд дикой природы,,no
416,Фонд «Свободная Бурятия»,,no
417,Губарев Данил Евгеньевич,журналист,yes
418,Гуриев Сергей Маратович,экономист,yes
419,Гершензон Лев Михайлович,медиа-менеджер,yes
420,Гудков Геннадий Владимирович,политик,yes
421,Водвуд Вераника Сергеевна,блогер-феминистка под псевдонимом «nixelpixel»,yes
422,Варламов Илья Александрович,"видеоблогер, журналист, общественный деятель",yes
423,Парни Плюс/Парни+,,no
424,Чиков Павел Владимирович,"юрист, правозащитник и общественный деятель",yes
425,Айсин Руслан Валерьевич,"политолог, общественный деятель",yes
426,Лада-Русь Светлана Михайловна,общественный деятель,yes
427,Бакалейко Богдан Владимирович,журналист,yes
428,Покровский Максим Сергеевич,"певец, композитор, автор песен, актёр театра и кино",yes
429,Бойко Сергей Андреевич,общественный и политический деятель,yes
430,Чентемиров Георгий Ростиславович,журналист,yes
